ROD_CISLO,MENO,PRIEZVISKO,ULICA,PSC
925316/8662,Terézia,Némethová,Hliníková 122,96901
935307/9786,Eva,Cígerová,Pavlíková 946,90101
795123/9964,Eva,Papová,Papová 321,03861
865901/6309,Ivana,Gálisová,Pavelová 284,95801
876101/3403,Veronika,Poláková,Balážová 449,95801
525415/6783,Lubica,Gajdošová,Simonová 418,90101
935507/9306,Ivana,Koceková,Farkašová 981,05801
646201/2357,Zoja,Klapacová,Nováková 105,91101
775603/2255,Nina,Martánová,Luptáková 286,91101
675224/6711,Jana,Némethová,Gálisová 538,96001
685106/2600,Elena,Pavelová,Chovanová 44,01001
585807/2055,Júlia,Némethová,Simonová 245,90101
955201/2920,Nina,Nováková,Oláhová 765,04001
566215/4386,Eva,Kollárová,Markovicová 754,05801
625308/2578,Vladimíra,Cerníková,Zajacová 342,97101
815509/3429,Veronika,Sklárová,Balážová 308,01001
836006/5169,Perla,Konrádová,Trlíková 203,96901
505805/6737,Natália,Pavelová,Pavelová 624,03861
515901/2232,Tamara,Némethová,Oláhová 569,05801
596024/8240,Sona,Tomaneková,Dusíková 86,04001
926018/9442,Renáta,Nováková,Karulová 185,05801
735904/5835,Vlasta,Konrádová,Nezvalová 142,05801
605209/7662,Miroslava,Bartošová,Balážová 675,91101
855519/9496,Daniela,Rosová,Cerníková 450,05801
956202/7545,Katarína,Dusíková,Mikuláková 835,91101
715203/4388,Ingrida,Kollárová,Urbanová 831,03601
555708/7864,Darina,Pavelová,Nezvalová 481,04001
835524/6387,Jana,Palovicová,Bakošová 181,90101
545216/5203,Marta,Jánošová,Vencelová 844,96001
996001/5231,Ivana,Dullová,Koceková 741,91101
955206/1639,Alica,Puškárová,Fischerová 139,08001
675805/4200,Eliška,Danová,Papová 757,03861
665415/3147,Lea,Jakabová,Kyselová 377,08001
965301/8737,Anna,Rosová,Nezvalová 798,96001
685706/5831,Veronika,Mikuláková,Pucherová 948,04001
745325/4633,Anastázia,Karulová,Hostáková 333,97101
715320/8157,Veronika,Karulová,Konrádová 470,05801
535923/8108,Dominika,Nováková,Dullová 520,97401
665727/6962,Sona,Abrahámová,Papová 759,90101
555701/1911,Lea,Nováková,Zajacová 774,01001
695406/1880,Miloslava,Puškárová,Pavelová 321,04001
555412/7488,Natália,Kozmonová,Kocová 258,96901
545228/4115,Petra,Karulová,Cajkovicová 317,04001
716002/8366,Veronika,Klapacová,Koceková 415,05801
885314/4295,Mária,Kyselová,Danová 511,97401
866207/3225,Martina,Žigmundová,Konrádová 919,96901
665209/2367,Matilda,Heretiková,Dusíková 187,90101
885712/4727,Nina,Balogová,Farkašová 946,03861
705409/6737,Zita,Oláhová,Mikuláková 62,96901
925823/6013,Sona,Valachová,Danová 198,08001
825206/2340,Marta,Trlíková,Nováková 948,97101
795601/5615,Nina,Pavelová,Murinová 715,95801
675728/7761,Veronika,Zubeková,Markovicová 646,96901
795625/2867,Anežka,Gajdošová,Tóthová 70,95801
735112/3682,Tatiana,Papová,Finková 650,96001
896221/5116,Bohumila,Némethová,Danová 919,04001
755821/7390,Eleonóra,Skokanová,Mráziková 983,97101
626228/4102,Vlasta,Nováková,Koceková 827,08001
765307/1312,Daniela,Puškárová,Dusíková 188,08001
685413/7142,Ivana,Hanaková,Pavelová 347,04001
695221/7517,Katarína,Kozmonová,Vencelová 677,03601
705925/8730,Alica,Mikuláková,Kocová 488,96001
736007/7127,Alica,Gajdošová,Oláhová 6,97101
636215/5195,Denisa,Markovicová,Pucherová 253,97401
875124/3435,Veronika,Sklárová,Zipserová 275,04001
955201/3509,Alena,Tatárová,Ondrášová 278,91101
895303/6639,Miloslava,Abrahámová,Šimová 137,96901
996124/6734,Nataša,Hostáková,Puškárová 489,90101
595314/1644,Eva,Hanaková,Karulová 454,91101
705721/1757,Marcela,Gajdošová,Sklárová 570,01001
725908/3325,Silvia,Papová,Kolníková 720,96901
966111/5822,Zora,Nováková,Šimová 185,95801
626228/4625,Natália,Konrádová,Nezvalová 23,08001
765108/3679,Antónia,Hanaková,Zipserová 583,97101
726107/5581,Vieroslava,Murinová,Cajkovicová 258,97401
595211/7764,Elena,Ondrášová,Balogová 38,97101
506002/4446,Miloslava,Havranová,Papová 406,03601
735713/3590,Lenka,Gajdošová,Gálisová 439,96901
845528/3431,Dana,Jurášová,Jánošová 582,08001
836016/2314,Daniela,Pucherová,Papová 894,96001
605413/8317,Eva,Balážová,Jakabová 951,90101
735208/1801,Matilda,Tatárová,Tatárová 740,03601
965727/8586,Sona,Markovicová,Luptáková 800,96901
715626/2640,Karolína,Galíková,Tomaneková 459,97401
515328/8277,Vilma,Kolníková,Hanaková 256,91101
706120/4864,Jarmila,Marcinová,Jánošová 715,95801
745215/6882,Eva,Kozmonová,Galíková 962,96001
905201/3038,Eliška,Vencelová,Valachová 974,95801
556125/4236,Lenka,Zubeková,Žigmundová 743,91101
935303/2845,Veronika,Móricová,Koceková 868,04001
945117/1486,Daniela,Kovácová,Orlíková 209,03861
525722/8919,Dana,Šimová,Murinová 588,04001
635102/8904,Andrea,Dullová,Klapacová 935,03861
635121/6921,Lucia,Konrádová,Farkašová 863,97101
585610/1450,Ivana,Kolníková,Zubeková 762,96901
745312/9240,Eva,Koceková,Poláková 736,08001
515226/5611,Darina,Konrádová,Jánošová 843,08001
945411/5771,Svetlana,Puškárová,Móricová 526,96901
586127/2925,Veronika,Nováková,Lojová 245,95801
765428/3372,Vlasta,Simonová,Kufová 62,08001
935823/5881,Žaneta,Cerníková,Nováková 450,96901
915307/8448,Romana,Fischerová,Lojová 384,04001
906024/4926,Sona,Urbanová,Hliníková 8,97101
895306/7410,Nikola,Galíková,Kováciková 624,03861
946201/8292,Žaneta,Kyselová,Orlíková 306,97101
875425/2287,Dorota,Kolníková,Sklárová 750,05801
845407/7329,Perla,Sklárová,Martánová 681,96901
665519/2037,Nina,Murinová,Poláková 311,96901
695616/4532,Marcela,Urbanová,Farkašová 219,95801
785501/7143,Etela,Hudáková,Koceková 184,90101
775907/9216,Lenka,Móricová,Koceková 683,97101
885220/3767,Lenka,Kyselová,Nováková 787,91101
585223/2282,Žaneta,Koceková,Nováková 852,03601
985210/3038,Diana,Hanaková,Pucherová 545,90101
846016/1914,Agáta,Galíková,Kovácová 411,95801
825214/9075,Martina,Kocová,Martánová 248,95801
835201/7389,Ivana,Bakošová,Galíková 182,04001
645320/7409,Veronika,Balážová,Pavelová 117,97401
925510/4355,Sofia,Klapacová,Tušová 655,96001
705921/5170,Eva,Marcinová,Pavlíková 147,97401
875610/7764,Daniela,Galíková,Maceková 469,03601
825909/1417,Marcela,Nováková,Gálisová 509,97101
995627/2073,Nina,Pucherová,Oláhová 300,01001
845728/6234,Sofia,Tatárová,Bakošová 47,01001
885408/1231,Sofia,Tušová,Kovácová 654,05801
735609/9330,Nina,Konrádová,Richtárová 612,03861
725317/2694,Beáta,Nováková,Jánošová 647,03601
945906/9924,Zuzana,Nováková,Jurovicová 475,90101
615223/5836,Zoja,Bartošová,Orlíková 593,08001
505618/9611,Viera,Trlíková,Marcinová 968,03601
725213/9639,Jana,Chovanová,Nováková 110,96901
655326/9680,Ema,Nováková,Kollárová 871,01001
765511/7256,Nina,Martánová,Papová 710,96901
595120/2376,Veronika,Nováková,Nezvalová 155,97401
815313/4929,Eleonóra,Holíceková,Nováková 54,90101
615717/8670,Anastázia,Zipserová,Kozmonová 833,95801
625112/7227,Katarína,Markovicová,Mikuláková 566,04001
546123/2471,Dorota,Jánošová,Holíceková 563,03601
915509/8490,Eva,Bakošová,Bezáková 719,01001
776001/7436,Darina,Galíková,Kufová 600,97101
715104/2862,Daniela,Bartošová,Farkašová 514,96901
906028/9423,Veronika,Klapacová,Oláhová 707,03861
845623/7962,Jana,Skokanová,Molnárová 101,96901
675312/4402,Žaneta,Sklárová,Murinová 616,90101
995226/4928,Alica,Zajacová,Tušová 934,97101
875702/5115,Zita,Martinová,Šimová 867,97401
625205/8949,Vladimíra,Móricová,Nováková 148,96001
976011/4043,Vieroslava,Rosová,Martánová 762,96901
615307/4034,Miloslava,Svrbíková,Farkašová 779,03601
675817/6911,Beáta,Orlíková,Puškárová 766,05801
725205/3034,Veronika,Hliníková,Abrahámová 544,08001
935320/2445,Antónia,Gajdošová,Móricová 49,05801
695727/5885,Jarmila,Konrádová,Kováciková 108,95801
795214/3224,Vanda,Simonová,Cerníková 591,03861
665924/9280,Miloslava,Murinová,Kolníková 907,05801
815722/4116,Alexandra,Hliníková,Oláhová 143,90101
565226/3549,Lenka,Puškárová,Galíková 256,97401
755717/2232,Veronika,Marcinová,Urbanová 528,08001
646226/4963,Matilda,Tušová,Holíceková 614,04001
766022/7892,Eva,Hanaková,Konrádová 405,95801
505328/4656,Eliška,Kozmonová,Šimová 601,97101
585704/6366,Jana,Horváthová,Móricová 981,08001
876205/9653,Kristína,Bakošová,Lojová 169,91101
836220/3081,Nina,Bartošová,Fischerová 888,91101
815322/1311,Jana,Hanaková,Molnárová 746,95801
675605/6195,Natália,Galíková,Nováková 983,01001
886205/1276,Sona,Jánošová,Balážová 14,91101
725322/3920,Tatiana,Nováková,Gálisová 720,01001
665806/5188,Ivana,Kolníková,Bakošová 907,05801
695202/8913,Mária,Palovicová,Žigmundová 62,90101
655309/7624,Irena,Nezvalová,Cerníková 217,05801
675706/9339,Michaela,Konrádová,Tatárová 894,95801
905407/2754,Anastázia,Bakošová,Bartošová 52,96901
885905/5691,Iveta,Finková,Dullová 707,04001
845324/2075,Vanda,Hudáková,Richtárová 215,04001
525115/2286,Anežka,Jurášová,Kolníková 11,03601
585527/8790,Sofia,Nováková,Konrádová 867,90101
545111/6588,Henrieta,Bartošová,Nováková 809,01001
595819/8695,Ela,Chovanová,Marcinová 233,95801
955101/1723,Vlasta,Cerníková,Tomaneková 717,97101
926014/7255,Natália,Kocová,Marcinová 418,03601
945428/2308,Bohdana,Kocová,Trlíková 522,03601
976204/8084,Vieroslava,Balogová,Gálisová 723,04001
995609/7786,Nina,Gálisová,Hudáková 341,03601
565417/4716,Renáta,Balogová,Martinová 696,95801
925901/4977,Beáta,Sklárová,Puškárová 854,03861
625324/5785,Katarína,Bakošová,Abrahámová 376,97101
656212/6877,Helena,Koceková,Havranová 115,96901
845808/3361,Gabriela,Oláhová,Nováková 581,95801
725602/6527,Jana,Kolníková,Palovicová 711,03601
515822/3956,Karolína,Heretiková,Koceková 377,91101
575217/4421,Lenka,Zipserová,Nováková 339,05801
646208/3542,Eva,Balogová,Lojová 857,96001
535819/1606,Eva,Kovácová,Markovicová 556,96901
545220/1835,Katarína,Farkašová,Horváthová 944,95801
606026/7634,Andrea,Pavlíková,Sklárová 125,97101
845508/2240,Daniela,Ondrášová,Vencelová 671,97401
665324/5482,Alica,Holíceková,Chovanová 80,96901
755110/3209,Zlatica,Hliníková,Maderová 827,95801
755308/4618,Nina,Cerníková,Mikuláková 178,05801
866111/4054,Lenka,Kollárová,Maderová 221,08001
655905/3374,Romana,Lojová,Žigmundová 926,08001
675521/3587,Terézia,Pucherová,Kováciková 64,97101
896014/3521,Svetlana,Tóthová,Zubeková 43,97101
575107/9398,Katarína,Heretiková,Nováková 970,91101
925813/1714,Jana,Gajdošová,Holíceková 36,03861
896023/7529,Miroslava,Simonová,Skokanová 773,90101
875915/4341,Eva,Gajdošová,Hostáková 499,03601
995114/8110,Simona,Molnárová,Kolníková 323,96901
605128/6076,Daniela,Galíková,Zipserová 732,08001
845614/8907,Vanesa,Martinová,Karulová 194,96901
795717/1751,Ela,Cerníková,Finková 111,01001
906211/9704,Sona,Hudáková,Bartošová 715,01001
505916/6639,Zita,Karulová,Molnárová 627,03601
685418/2535,Eva,Oláhová,Nováková 785,03861
685810/4910,Veronika,Trlíková,Marcinová 305,96901
906103/6127,Patrícia,Nováková,Nováková 477,04001
625223/6924,Jana,Cajkovicová,Pucherová 249,96001
815224/2942,Blažena,Jánošová,Galíková 340,97401
615624/1671,Bohuslava,Hliníková,Martinová 615,90101
775506/1709,Romana,Markovicová,Hostáková 276,97401
875615/6205,Nikola,Némethová,Nováková 741,96001
805621/9199,Zora,Pavlíková,Nováková 338,95801
616001/4812,Lenka,Sklárová,Balogová 60,97101
615524/3589,Veronika,Hanaková,Kolníková 556,05801
596208/1437,Irena,Finková,Tóthová 534,97101
635725/8470,Jarmila,Dullová,Tušová 327,96901
585223/1810,Ida,Jakabová,Nováková 157,90101
515422/7453,Ivana,Jakabová,Dusíková 14,91101
556115/7878,Katarína,Hliníková,Kyselová 172,91101
576009/3170,Lenka,Gálisová,Kollárová 462,01001
686218/3196,Alica,Nováková,Pavlíková 540,95801
605822/2157,Eva,Lojová,Gálisová 372,03861
985505/9776,Nina,Cerníková,Puškárová 359,04001
675708/2681,Tatiana,Hudáková,Kozmonová 771,05801
865728/8429,Sona,Kozmonová,Marcinová 419,97401
535810/7883,Romana,Cajkovicová,Mráziková 767,91101
845910/2619,Valentína,Némethová,Bartošová 896,01001
665518/4333,Irena,Nezvalová,Nováková 210,01001
515103/8728,Miriama,Jakabová,Nováková 599,97401
816122/7823,Hana,Pavelová,Hliníková 101,96901
836016/4265,Vilma,Molnárová,Galíková 784,03861
795605/8586,Daniela,Kováciková,Murinová 15,03601
565606/6933,Vlasta,Marcinová,Horváthová 756,01001
755508/6989,Iveta,Maceková,Kollárová 263,08001
705925/9922,Lívia,Simonová,Chovanová 714,97401
825209/8807,Nikola,Finková,Bakošová 651,96001
625418/9887,Vlasta,Mráziková,Zipserová 499,96901
656019/3651,Zlatica,Abrahámová,Richtárová 438,96001
545617/7696,Natália,Nováková,Némethová 111,04001
946211/8277,Iveta,Murinová,Lukácová 739,03861
905112/7915,Katarína,Maceková,Abrahámová 690,01001
835512/5245,Veronika,Jurášová,Gálisová 20,95801
585311/4698,Anastázia,Luptáková,Finková 752,03601
575319/8428,Alica,Skokanová,Valachová 399,05801
975111/2730,Ema,Kocová,Žigmundová 668,97401
655401/1791,Vieroslava,Simonová,Kollárová 152,03861
805922/5378,Dáša,Šimová,Nováková 673,97101
685717/6861,Ivana,Tóthová,Karulová 251,03601
995811/3739,Miloslava,Chovanová,Gálisová 46,03601
665320/8589,Natália,Pavelová,Luptáková 979,05801
685522/6363,Eva,Hudáková,Abrahámová 824,04001
996116/9154,Nina,Tušová,Cajkovicová 144,95801
515814/4709,Michaela,Maderová,Hudáková 648,97101
595811/7614,Karolína,Trlíková,Zubeková 287,08001
705514/5608,Lenka,Lojová,Finková 228,08001
525117/1919,Sona,Kocová,Žigmundová 905,08001
716105/2402,Eva,Žigmundová,Abrahámová 647,04001
525603/2405,Tatiana,Havranová,Klapacová 402,97401
676207/7100,Vlasta,Holíceková,Hanaková 642,03601
926127/3278,Vlasta,Karulová,Rosová 565,95801
855228/5335,Miroslava,Lukácová,Simonová 740,04001
905219/8414,Nataša,Molnárová,Balogová 680,91101
655925/8961,Eva,Jánošová,Orlíková 652,01001
816122/7508,Vanda,Bezáková,Martánová 23,08001
785324/3930,Natália,Móricová,Maceková 184,03601
555112/8697,Sona,Šimová,Oláhová 365,95801
745409/2141,Zuzana,Móricová,Konrádová 245,03861
876206/9773,Karolína,Koceková,Dusíková 476,91101
595405/6633,Lenka,Abrahámová,Urbanová 412,03861
826008/8557,Ela,Balážová,Jánošová 815,05801
905702/5157,Lenka,Horváthová,Rosová 630,01001
545924/5302,Daniela,Tatárová,Žigmundová 851,03601
775911/4624,Romana,Koceková,Mikuláková 369,96001
695623/7630,Kristína,Mráziková,Cígerová 562,03861
586103/5609,Jana,Dullová,Jurášová 787,03601
745806/9251,Ivana,Móricová,Heretiková 938,03601
646008/4679,Zlatica,Fischerová,Molnárová 541,04001
975628/3636,Nina,Karulová,Pavelová 511,96001
506102/3056,Natália,Hostáková,Martánová 479,96901
545703/5720,Alica,Murinová,Abrahámová 928,05801
695720/7765,Nina,Klapacová,Zajacová 424,97401
595415/8069,Natália,Luptáková,Martánová 338,96901
605815/9265,Veronika,Hanaková,Murinová 329,97101
776105/5971,Nataša,Martánová,Papová 145,03861
816010/5071,Eva,Kollárová,Ondrášová 512,90101
575315/6425,Marta,Hostáková,Kováciková 402,96901
846203/9605,Romana,Vencelová,Maderová 936,01001
815406/8445,Vlasta,Nováková,Balogová 775,96001
696126/5320,Lenka,Finková,Holíceková 560,90101
595522/2843,Etela,Markovicová,Simonová 903,96901
805421/8928,Vladimíra,Bakošová,Klapacová 10,96001
925201/8732,Milena,Galíková,Mikuláková 915,91101
855719/9149,Eva,Karulová,Bartošová 41,04001
655605/9030,Ingrida,Markovicová,Hostáková 702,96001
515420/1880,Lenka,Mráziková,Móricová 94,04001
505503/1816,Zoja,Kufová,Nezvalová 687,90101
675606/1717,Tatiana,Bezáková,Pucherová 788,04001
766121/1365,Júlia,Zipserová,Cerníková 509,04001
975215/2015,Vanda,Valachová,Palovicová 811,95801
625928/6959,Jana,Tušová,Zajacová 796,97401
596010/2205,Sona,Palovicová,Kocová 763,04001
555101/6162,Eva,Maceková,Hostáková 676,01001
596202/9183,Katarína,Chovanová,Pucherová 619,01001
746027/7443,Miroslava,Lojová,Holíceková 558,96901
885214/5741,Marcela,Tomaneková,Némethová 878,96901
735518/8644,Dorota,Kyselová,Simonová 777,01001
946125/8939,Daniela,Ondrášová,Nováková 138,05801
756019/4549,Anastázia,Kolníková,Lukácová 351,96001
655113/2359,Mária,Zajacová,Abrahámová 464,97101
815516/3769,Simona,Galíková,Molnárová 194,03861
805907/8639,Eva,Tomaneková,Kocová 167,90101
765110/4236,Vlasta,Hostáková,Heretiková 219,97401
995819/2442,Helena,Palovicová,Molnárová 930,04001
695116/6879,Lenka,Mráziková,Horváthová 380,04001
855209/3690,Erika,Lojová,Zajacová 433,03601
725407/8554,Daniela,Lojová,Luptáková 474,04001
545207/7802,Romana,Svrbíková,Havranová 634,05801
775707/8581,Veronika,Martánová,Tomaneková 609,97101
585713/1151,Lenka,Jakabová,Tatárová 483,05801
705821/9161,Andrea,Molnárová,Balogová 220,95801
525109/8865,Tatiana,Chovanová,Kolníková 481,05801
746215/9833,Miloslava,Kozmonová,Jakabová 676,03861
545214/3976,Daniela,Lukácová,Tomaneková 533,04001
926027/7613,Natália,Richtárová,Zubeková 2,03601
816111/5073,Katarína,Horváthová,Chovanová 194,90101
935109/3574,Libuša,Kozmonová,Zubeková 742,95801
985626/3543,Agáta,Holíceková,Horváthová 799,01001
636205/5880,Svetlana,Koceková,Maderová 503,05801
895121/8385,Vlasta,Urbanová,Koceková 59,01001
765618/8386,Lenka,Lukácová,Poláková 597,03861
545216/1826,Daniela,Papová,Poláková 946,03601
956228/5388,Karina,Nováková,Lojová 549,08001
825523/5863,Andrea,Markovicová,Móricová 226,95801
845307/1301,Drahomíra,Jurášová,Tušová 245,08001
595304/4326,Ela,Lojová,Havranová 863,90101
525818/3780,Natália,Pucherová,Nováková 860,97401
866123/7976,Lenka,Kollárová,Papová 719,97101
845120/4236,Vieroslava,Gálisová,Zajacová 801,03601
676124/5439,Libuša,Havranová,Orlíková 189,96001
716104/8949,Veronika,Murinová,Šimová 236,04001
626203/6311,Antónia,Puškárová,Danová 56,03601
746217/7285,Lenka,Jurášová,Poláková 426,96001
585825/8605,Perla,Molnárová,Luptáková 675,96901
615621/5275,Veronika,Mráziková,Marcinová 376,96901
645213/3572,Lucia,Nováková,Cajkovicová 91,03601
795820/8942,Veronika,Heretiková,Kovácová 4,08001
586016/3085,Ivana,Kováciková,Rosová 159,08001
796124/3252,Zuzana,Kovácová,Rosová 352,03861
685806/2056,Karolína,Simonová,Heretiková 298,01001
825807/9386,Etela,Lukácová,Nováková 487,95801
725803/9871,Nina,Papová,Balogová 961,91101
985226/5235,Eva,Dullová,Orlíková 761,03601
575620/6404,Nina,Oláhová,Pavlíková 550,95801
605705/3777,Nina,Fischerová,Martinová 666,95801
955523/5315,Bohdana,Abrahámová,Havranová 289,05801
975916/3659,Nina,Vencelová,Zubeková 356,96001
505324/3741,Tatiana,Papová,Hostáková 66,03861
505213/1465,Dana,Zubeková,Sklárová 893,95801
905211/2489,Jana,Holíceková,Skokanová 920,91101
836227/8342,Daniela,Gajdošová,Kocová 745,01001
745309/9851,Vlasta,Heretiková,Tušová 563,96001
795703/8224,Jana,Jurovicová,Zajacová 146,04001
906024/2307,Sona,Kolníková,Mráziková 236,96001
775302/4150,Elena,Cígerová,Zipserová 671,97101
796103/5158,Svetlana,Vencelová,Finková 653,97101
715515/9177,Sofia,Gajdošová,Holíceková 671,05801
586113/4428,Jana,Kyselová,Balogová 491,97101
606204/6276,Eva,Simonová,Koceková 654,08001
575807/7542,Martina,Vencelová,Jurášová 987,05801
586225/7091,Katarína,Móricová,Balážová 329,03601
505706/5582,Vlasta,Bezáková,Sklárová 960,01001
795411/5387,Lenka,Ondrášová,Havranová 233,96001
526217/8206,Žofia,Galíková,Jurášová 82,97401
666219/9350,Natália,Horváthová,Vencelová 3,96001
915209/2031,Valentína,Heretiková,Finková 19,03601
725605/1552,Vanesa,Havranová,Kocová 523,96901
855912/1612,Eva,Puškárová,Lojová 931,05801
885614/7172,Blažena,Fischerová,Kolníková 156,03601
886027/2995,Jana,Koceková,Oláhová 264,03861
606026/7503,Ingrida,Némethová,Tóthová 583,97401
526226/7713,Terézia,Hanaková,Bartošová 989,91101
565318/1505,Jana,Jurovicová,Kyselová 435,04001
595313/8459,Žofia,Tóthová,Chovanová 262,97101
785925/8021,Miriama,Pavelová,Finková 276,96001
816001/7316,Tatiana,Koceková,Balážová 777,90101
686009/3793,Eva,Gajdošová,Havranová 867,96001
556017/3108,Miloslava,Bezáková,Pavelová 418,03601
745615/9061,Lenka,Kováciková,Dullová 171,03601
925117/1967,Jaroslava,Holíceková,Gajdošová 359,03861
845904/2128,Nina,Havranová,Markovicová 759,97101
955408/6532,Alica,Kolníková,Zipserová 817,97101
525921/8007,Katarína,Jánošová,Fischerová 621,03601
835924/2938,Antónia,Richtárová,Chovanová 233,96001
705405/5898,Veronika,Jakabová,Marcinová 617,03601
535410/6710,Romana,Skokanová,Abrahámová 295,03601
786214/9048,Eliška,Marcinová,Gajdošová 29,01001
655627/1720,Anna,Kollárová,Bakošová 785,90101
846017/7283,Tatiana,Danová,Danová 401,08001
905112/5243,Nikola,Havranová,Mráziková 561,03601
575218/7181,Vlasta,Galíková,Horváthová 23,91101
696103/9022,Marta,Horváthová,Horváthová 142,08001
926214/7120,Katarína,Balogová,Cajkovicová 332,91101
885722/7329,Lubica,Bezáková,Kyselová 595,08001
895202/6510,Žofia,Pavelová,Martánová 489,97101
695917/7421,Sona,Žigmundová,Dusíková 325,97101
926209/4753,Viera,Markovicová,Gálisová 769,08001
795522/3310,Ivana,Vencelová,Gálisová 287,97101
905821/5066,Lujza,Skokanová,Hliníková 946,90101
956026/7414,Anastázia,Martánová,Skokanová 196,03601
626122/3546,Jana,Némethová,Markovicová 251,05801
755428/3045,Alica,Dullová,Papová 630,03861
636120/8845,Eva,Hudáková,Žigmundová 707,05801
816020/4487,Beáta,Havranová,Dusíková 636,04001
876110/3122,Natália,Bartošová,Farkašová 424,05801
615216/8603,Diana,Balogová,Hudáková 297,08001
785708/4224,Lenka,Hostáková,Klapacová 660,90101
805402/7761,Nina,Balogová,Tóthová 286,97101
575510/3913,Vilma,Mráziková,Richtárová 865,97401
775910/3145,Nina,Farkašová,Bakošová 924,03861
736014/6956,Tatiana,Richtárová,Oláhová 338,96901
795603/2052,Vanda,Dullová,Lojová 244,97101
585217/6570,Etela,Pavelová,Sklárová 339,01001
985525/1824,Vieroslava,Tomaneková,Luptáková 829,04001
885608/6391,Ela,Hanaková,Markovicová 322,97401
955203/9196,Viera,Fischerová,Maceková 959,01001
945911/3520,Lea,Poláková,Klapacová 674,91101
705920/6172,Veronika,Martánová,Kyselová 579,08001
515920/8482,Malvína,Luptáková,Poláková 814,03861
515518/3440,Romana,Galíková,Martinová 712,97401
836021/4353,Sona,Šimová,Šimová 156,96001
905713/5446,Eva,Dullová,Ondrášová 94,90101
885623/6295,Alica,Tóthová,Molnárová 863,96001
945110/9989,Kristína,Dusíková,Skokanová 830,05801
855218/7446,Ivana,Zipserová,Havranová 525,08001
545211/1384,Lenka,Tatárová,Fischerová 859,03861
765803/2759,Drahomíra,Cerníková,Galíková 338,01001
595811/8631,Ema,Nováková,Kozmonová 945,90101
785420/4182,Linda,Cajkovicová,Poláková 941,97101
935816/2673,Perla,Konrádová,Mikuláková 184,04001
735114/7240,Tatiana,Tomaneková,Jurášová 376,96901
765906/1768,Jana,Kollárová,Papová 452,03861
925225/9466,Daniela,Kolníková,Abrahámová 154,96901
746017/4567,Erika,Hanaková,Karulová 629,96001
885506/6609,Lea,Zubeková,Tatárová 198,08001
975728/6211,Natália,Hostáková,Móricová 951,01001
665113/1210,Beáta,Hostáková,Némethová 149,91101
686115/3595,Nina,Dusíková,Kováciková 412,97101
695122/1413,Lenka,Jakabová,Martinová 585,97101
865417/1495,Ivana,Nováková,Balogová 93,96901
695312/5466,Lenka,Orlíková,Puškárová 916,04001
835607/3373,Katarína,Cerníková,Mráziková 208,05801
916103/9293,Zoja,Bartošová,Maderová 484,97101
635306/6959,Kristína,Hanaková,Chovanová 903,91101
745213/4105,Gabriela,Nováková,Rosová 432,97101
645416/9136,Nina,Murinová,Marcinová 802,04001
575828/5935,Lenka,Cerníková,Gálisová 319,03861
545303/8472,Zita,Maceková,Bartošová 106,96901
685805/5117,Ivana,Richtárová,Hliníková 770,91101
805912/5136,Ivana,Papová,Jakabová 563,91101
895905/3503,Libuša,Havranová,Zipserová 464,95801
955417/5833,Dáša,Bakošová,Tomaneková 465,01001
775223/5641,Vilma,Konrádová,Mráziková 68,96901
706213/4711,Antónia,Bartošová,Nezvalová 579,03861
875303/5061,Helena,Horváthová,Jakabová 334,96901
825924/4785,Romana,Farkašová,Finková 650,03601
595613/4333,Lenka,Maderová,Nováková 407,03861
685215/2313,Etela,Kovácová,Jurovicová 5,97101
825217/3963,Dorota,Nováková,Tóthová 819,01001
715313/4395,Natália,Marcinová,Jurovicová 124,08001
845108/4523,Mária,Tóthová,Nováková 190,97101
605512/5751,Renáta,Marcinová,Sklárová 505,03861
805828/3266,Eleonóra,Zubeková,Nováková 511,90101
636027/6414,Darina,Murinová,Zajacová 284,96901
765601/7495,Sára,Finková,Richtárová 212,95801
626113/5294,Malvína,Zipserová,Simonová 41,04001
536006/7058,Denisa,Lojová,Richtárová 174,04001
655822/1763,Edita,Murinová,Holíceková 873,03861
766204/1817,Nataša,Heretiková,Murinová 66,97401
535728/2592,Daniela,Dusíková,Simonová 836,90101
546218/8947,Lenka,Poláková,Kyselová 378,97101
965122/5811,Eva,Molnárová,Trlíková 660,97101
965103/1952,Lubica,Kocová,Némethová 68,03601
845814/9966,Kristína,Jakabová,Fischerová 716,05801
715710/5531,Alica,Murinová,Pavelová 509,96901
765609/5133,Vanda,Abrahámová,Mikuláková 641,97401
996225/9118,Ivana,Finková,Fischerová 416,91101
775216/4779,Eva,Nováková,Nováková 438,03601
575425/3245,Drahomíra,Richtárová,Hudáková 29,05801
876108/7792,Nina,Galíková,Mráziková 716,03861
655415/6706,Katarína,Richtárová,Marcinová 217,04001
735308/7128,Tatiana,Martánová,Danová 522,05801
666121/8797,Jana,Jurášová,Rosová 468,04001
775327/3616,Dana,Simonová,Puškárová 393,97401
545607/2791,Lenka,Nováková,Dusíková 908,03601
705303/9197,Nina,Rosová,Markovicová 694,03601
555206/8385,Eva,Kocová,Balážová 637,01001
805808/8342,Lenka,Hostáková,Simonová 245,03601
565315/3096,Ingrida,Horváthová,Puškárová 561,03601
715727/4367,Jana,Tušová,Farkašová 880,04001
755307/7119,Natália,Pavelová,Pavlíková 976,05801
955103/2457,Lenka,Kocová,Puškárová 309,97401
